2019-04-02 23:25:47.3813||DEBUG|OGL.Web.Program|init main |url: |action: 
2019-04-02 23:25:50.8376||TRACE|OGL.Infrastructure.Services.DataInitializer|Initializing data.. |url: |action: 
2019-04-02 23:25:50.8855||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user1 |url: |action: 
2019-04-02 23:25:50.9084||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user2 |url: |action: 
2019-04-02 23:25:50.9261||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user3 |url: |action: 
2019-04-02 23:25:50.9439||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user4 |url: |action: 
2019-04-02 23:25:50.9628||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user5 |url: |action: 
2019-04-02 23:25:50.9804||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user6 |url: |action: 
2019-04-02 23:25:50.9977||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user7 |url: |action: 
2019-04-02 23:25:51.0171||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user8 |url: |action: 
2019-04-02 23:25:51.0344||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user9 |url: |action: 
2019-04-02 23:25:51.0551||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding user: user10 |url: |action: 
2019-04-02 23:25:51.0778||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser1 |url: |action: 
2019-04-02 23:25:51.0778||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 0c6512dc-dfc5-4258-b6de-73266c3babf6 |url: |action: 
2019-04-02 23:25:51.0960||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 0c6512dc-dfc5-4258-b6de-73266c3babf6 |url: |action: 
2019-04-02 23:25:51.1166||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser2 |url: |action: 
2019-04-02 23:25:51.1166||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: f16fb1ae-193b-4da7-90ea-d49d784407fb |url: |action: 
2019-04-02 23:25:51.1166||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: f16fb1ae-193b-4da7-90ea-d49d784407fb |url: |action: 
2019-04-02 23:25:51.1363||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser3 |url: |action: 
2019-04-02 23:25:51.1363||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: c1e301de-67bd-4f15-8b26-94f07fa7ccbd |url: |action: 
2019-04-02 23:25:51.1363||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: c1e301de-67bd-4f15-8b26-94f07fa7ccbd |url: |action: 
2019-04-02 23:25:51.1553||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding admin: adminuser4 |url: |action: 
2019-04-02 23:25:51.1553||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding category: 416af815-e1cf-48d4-a1c0-01c78b4a6e6c |url: |action: 
2019-04-02 23:25:51.1553||TRACE|OGL.Infrastructure.Services.DataInitializer|Adding advertisement to: 416af815-e1cf-48d4-a1c0-01c78b4a6e6c |url: |action: 
